Epochs,Loss
1,0.027
2,2.49E-03
3,2.00E-04
4,1.75E-04
5,1.49E-04
6,7.78E-05
7,6.78E-05
8,6.21E-05
9,5.80E-05
10,5.56E-05
11,5.39E-05
12,5.14E-05
13,5.10E-05
14,4.70E-05
15,4.61E-05
16,4.74E-05
17,4.56E-05
18,4.50E-05
19,4.43E-05
20,4.26E-05
21,4.41E-05
22,3.95E-05
23,4.17E-05
24,4.27E-05
25,4.02E-05
26,3.89E-05
27,3.85E-05
28,3.62E-05
29,3.74E-05
30,3.65E-05
31,3.81E-05
32,3.52E-05
33,3.40E-05
34,3.47E-05
35,3.36E-05
36,3.53E-05
37,3.32E-05
38,3.22E-05
39,3.44E-05
40,3.26E-05